state,county,start_time,duration,min_customers,max_customers,mean_customers
New Jersey,Hudson,3/21/2017 0:45,0.5,512,513,513
New Jersey,Hudson,3/22/2017 13:30,0.75,994,998,995
New Jersey,Hudson,3/27/2017 13:30,0.5,1914,1914,1914
New Jersey,Hudson,3/29/2017 5:00,4,241,254,242
New Jersey,Hudson,4/3/2017 17:30,0.25,2874,2874,2874
New Jersey,Hudson,4/3/2017 18:00,0.25,2848,2848,2848
New Jersey,Hudson,4/4/2017 15:15,0.25,1869,1869,1869
New Jersey,Hudson,4/4/2017 15:45,0.25,3048,3048,3048
New Jersey,Hudson,4/11/2017 11:45,0.25,2051,2051,2051
New Jersey,Hudson,4/12/2017 6:30,0.5,5024,6675,5850
New Jersey,Hudson,4/15/2017 21:30,1,1167,1168,1167
New Jersey,Hudson,4/16/2017 13:15,0.25,1831,1831,1831
New Jersey,Hudson,4/18/2017 0:15,1.25,329,1011,515
New Jersey,Hudson,4/18/2017 5:15,0.75,603,603,603
New Jersey,Hudson,4/18/2017 7:15,0.25,2303,2303,2303
New Jersey,Hudson,4/21/2017 16:15,0.25,389,389,389
New Jersey,Hudson,4/26/2017 1:00,1,212,1504,1181
New Jersey,Hudson,4/27/2017 1:00,0.5,695,695,695
New Jersey,Hudson,4/29/2017 20:15,1.25,1250,2488,2234
New Jersey,Hudson,5/1/2017 11:15,0.25,2622,2622,2622
New Jersey,Hudson,5/2/2017 1:45,0.5,3984,4020,4002
New Jersey,Hudson,5/4/2017 16:15,0.25,2392,2392,2392
New Jersey,Hudson,5/4/2017 21:45,0.25,1841,1841,1841
New Jersey,Hudson,5/11/2017 14:45,0.5,1859,1859,1859
New Jersey,Hudson,5/11/2017 19:45,0.25,2553,2553,2553
New Jersey,Hudson,5/13/2017 13:30,0.25,4131,4131,4131
New Jersey,Hudson,5/16/2017 13:45,0.25,379,379,379
New Jersey,Hudson,5/16/2017 21:45,0.75,1393,1393,1393
New Jersey,Hudson,5/17/2017 20:00,5.5,815,7102,1395
New Jersey,Hudson,5/18/2017 16:00,0.25,3983,3983,3983
New Jersey,Hudson,5/19/2017 21:15,5.5,779,799,796
New Jersey,Hudson,5/21/2017 2:30,1,1652,1654,1654
New Jersey,Hudson,5/25/2017 13:00,0.25,922,922,922
New Jersey,Hudson,5/25/2017 16:30,3.25,241,3476,1991
New Jersey,Hudson,5/30/2017 14:00,0.25,805,805,805
New Jersey,Hudson,6/3/2017 19:30,1.75,597,807,689
New Jersey,Hudson,6/3/2017 21:45,2.25,279,287,283
New Jersey,Hudson,6/5/2017 1:30,1.75,1739,7966,2629
New Jersey,Hudson,6/7/2017 16:30,0.25,2334,2334,2334
New Jersey,Hudson,6/7/2017 17:00,0.25,5836,5836,5836
New Jersey,Hudson,6/7/2017 20:15,0.25,867,867,867
New Jersey,Hudson,6/7/2017 21:00,0.25,1009,1009,1009
New Jersey,Hudson,6/8/2017 19:15,0.5,850,851,851
New Jersey,Hudson,6/13/2017 0:30,0.25,850,850,850
New Jersey,Hudson,6/13/2017 20:00,0.75,205,2607,1806
New Jersey,Hudson,6/13/2017 21:15,0.25,924,924,924
New Jersey,Hudson,6/13/2017 22:00,0.25,1175,1175,1175
New Jersey,Hudson,6/14/2017 0:00,0.25,1131,1131,1131
New Jersey,Hudson,6/14/2017 11:45,0.25,4062,4062,4062
New Jersey,Hudson,6/14/2017 13:45,0.75,1082,1083,1083
New Jersey,Hudson,6/19/2017 20:45,0.25,4047,4047,4047
New Jersey,Hudson,6/19/2017 21:45,3.5,278,520,417
New Jersey,Hudson,6/21/2017 16:45,1.5,1465,1467,1466
New Jersey,Hudson,6/22/2017 22:15,0.25,417,417,417
New Jersey,Hudson,6/25/2017 11:45,1,241,241,241
New Jersey,Hudson,6/25/2017 14:30,0.5,600,601,601
New Jersey,Hudson,7/2/2017 11:45,0.5,264,264,264
New Jersey,Hudson,7/3/2017 11:15,2.5,215,2399,440
New Jersey,Hudson,7/4/2017 0:30,2,263,1240,629
New Jersey,Hudson,7/4/2017 12:15,0.25,3308,3308,3308
New Jersey,Hudson,7/4/2017 14:45,0.25,1595,1595,1595
New Jersey,Hudson,7/7/2017 11:30,2,323,646,364
New Jersey,Hudson,7/7/2017 15:00,0.25,1049,1049,1049
New Jersey,Hudson,7/9/2017 0:00,1.25,675,675,675
New Jersey,Hudson,7/17/2017 11:00,2.5,238,240,239
New Jersey,Hudson,7/18/2017 6:30,2.75,699,699,699
New Jersey,Hudson,7/20/2017 21:00,0.25,728,728,728
New Jersey,Hudson,7/21/2017 2:00,8.25,233,365,350
New Jersey,Hudson,7/21/2017 11:15,0.5,233,233,233
New Jersey,Hudson,7/21/2017 13:30,0.75,200,201,200
New Jersey,Hudson,7/22/2017 3:45,0.5,322,381,352
New Jersey,Hudson,7/27/2017 18:45,0.25,1010,1010,1010
New Jersey,Hudson,8/6/2017 8:00,0.75,2318,2318,2318
New Jersey,Hudson,8/8/2017 0:30,0.25,486,486,486
